UniProt	Enzyme	Organism	Source	Found_using_Brenda
Q2LMP0	endo-1,4-beta-xylanase	Botrytis cinerea	Swiss-Prot	TRUE
Q2LMP0	endo-1,4-beta-xylanase	Botrytis cinerea SAS56	Swiss-Prot	TRUE
Q9L8L8	endo-1,4-beta-xylanase	Caldibacillus cellulovorans	TrEMBL	TRUE
Q8GTJ2	endo-1,4-beta-xylanase	Carica papaya	TrEMBL	TRUE
P54865	endo-1,4-beta-xylanase	Cellulomonas fimi	Swiss-Prot	TRUE
A1XM14	endo-1,4-beta-xylanase	Cellulomonas flavigena	TrEMBL	TRUE
A1XM14	endo-1,4-beta-xylanase	Cellulomonas flavigena CDBB-531	TrEMBL	TRUE
T2M1V1	endo-1,4-beta-xylanase	Cellulosimicrobium cellulans	TrEMBL	TRUE
T2M1V1	endo-1,4-beta-xylanase	Cellulosimicrobium cellulans CKMX1	TrEMBL	TRUE
B2BZ80	endo-1,4-beta-xylanase	Cellulosimicrobium sp.	TrEMBL	TRUE
B2BZ80	endo-1,4-beta-xylanase	Cellulosimicrobium sp. HY-12	TrEMBL	TRUE
Q59675	endo-1,4-beta-xylanase	Cellvibrio japonicus	Swiss-Prot	TRUE
Q6UN40	endo-1,4-beta-xylanase	Chaetomium thermophilum	TrEMBL	TRUE
Q8J1V6	endo-1,4-beta-xylanase	Chaetomium thermophilum	TrEMBL	TRUE
Q6UN40	endo-1,4-beta-xylanase	Chaetomium thermophilum NIBGE 1	TrEMBL	TRUE
Q8J1V6	endo-1,4-beta-xylanase	Chaetomium thermophilum NIBGE 1	TrEMBL	TRUE
O74716	endo-1,4-beta-xylanase	Claviceps purpurea	Swiss-Prot	TRUE
Q8GJ44	endo-1,4-beta-xylanase	Clostridium stercorarium	Swiss-Prot	TRUE
B9VSZ3	endo-1,4-beta-xylanase	Demequina sp. JK4	TrEMBL	TRUE
Q46961	endo-1,4-beta-xylanase	Dickeya chrysanthemi	TrEMBL	TRUE
A0A0F7MX47	endo-1,4-beta-xylanase	Fusarium commune	TrEMBL	TRUE
A0A0F7MYK0	endo-1,4-beta-xylanase	Fusarium commune		FALSE
A0A0F7N1T1	endo-1,4-beta-xylanase	Fusarium commune	TrEMBL	TRUE
Q7ZA57	endo-1,4-beta-xylanase	Fusarium graminearum	TrEMBL	TRUE
Q7ZA57	endo-1,4-beta-xylanase	Fusarium graminearum	TrEMBL	TRUE
O59938	endo-1,4-beta-xylanase	Fusarium oxysporum	TrEMBL	TRUE
X0M5X0	endo-1,4-beta-xylanase	Fusarium oxysporum f. sp. vasinfectum	TrEMBL	TRUE
X0M5X0	endo-1,4-beta-xylanase	Fusarium oxysporum f. sp. vasinfectum 25433	TrEMBL	TRUE
B5M201	endo-1,4-beta-xylanase	Geobacillus sp. WBI	TrEMBL	TRUE
Q94G06	endo-1,4-beta-xylanase	Hordeum vulgare	TrEMBL	TRUE
B8XY24	endo-1,4-beta-xylanase	Kocuria sp. Mn22	TrEMBL	TRUE
Q01176	endo-1,4-beta-xylanase	Magnaporthe grisea	Swiss-Prot	TRUE
Q8NJ73	endo-1,4-beta-xylanase	Magnaporthe grisea	Swiss-Prot	TRUE
A0A0S2I9J6	endo-1,4-beta-xylanase	Massilia sp. RBM26	TrEMBL	TRUE
I6Z823	endo-1,4-beta-xylanase	Melioribacter roseus	TrEMBL	TRUE
I6Z9A7	endo-1,4-beta-xylanase	Melioribacter roseus	TrEMBL	TRUE
I7A603	endo-1,4-beta-xylanase	Melioribacter roseus	TrEMBL	TRUE
I6Z823	endo-1,4-beta-xylanase	Melioribacter roseus JCM 17771	TrEMBL	TRUE
I6Z9A7	endo-1,4-beta-xylanase	Melioribacter roseus JCM 17771	TrEMBL	TRUE
I7A603	endo-1,4-beta-xylanase	Melioribacter roseus JCM 17771	TrEMBL	TRUE
A0A067XRW0	endo-1,4-beta-xylanase	Microbacterium trichothecenolyticum	TrEMBL	TRUE
A0A067XRW0	endo-1,4-beta-xylanase	Microbacterium trichothecenolyticum HY-17	TrEMBL	TRUE
A0A0U5B5Z4	endo-1,4-beta-xylanase	Microcella alkaliphila	TrEMBL	TRUE
A0A0U5B5Z4	endo-1,4-beta-xylanase	Microcella alkaliphila JAM-AC0309	TrEMBL	TRUE
A8TGA1	endo-1,4-beta-xylanase	Neocallimastix patriciarum	Swiss-Prot	TRUE
P29127	endo-1,4-beta-xylanase	Neocallimastix patriciarum	Swiss-Prot	TRUE
P29127	endo-1,4-beta-xylanase	Neocallimastix patriciarum	Swiss-Prot	TRUE
D1KJJ7	endo-1,4-beta-xylanase	Nesterenkonia xinjiangensis	TrEMBL	TRUE
D1KJJ7	endo-1,4-beta-xylanase	Nesterenkonia xinjiangensis CCTCC AA001025	TrEMBL	TRUE
D1G4K3	endo-1,4-beta-xylanase	Paecilomyces sp. J18	TrEMBL	TRUE
Q2I6W5	endo-1,4-beta-xylanase	Paenibacillus campinasensis	TrEMBL	TRUE
Q2I6W5	endo-1,4-beta-xylanase	Paenibacillus campinasensis BL11	TrEMBL	TRUE
A0A0A0R2Z1	endo-1,4-beta-xylanase	Paenibacillus curdlanolyticus	TrEMBL	TRUE
B1A3N2	endo-1,4-beta-xylanase	Paenibacillus curdlanolyticus	TrEMBL	TRUE
E3WF08	endo-1,4-beta-xylanase	Paenibacillus curdlanolyticus	TrEMBL	TRUE
B1A3N2	endo-1,4-beta-xylanase	Paenibacillus curdlanolyticus B-6	TrEMBL	TRUE
A0A0A0R2Z1	endo-1,4-beta-xylanase	Paenibacillus curdlanolyticus B-60	TrEMBL	TRUE
P45796	endo-1,4-beta-xylanase	Paenibacillus polymyxa		FALSE
A0A075EEX4	endo-1,4-beta-xylanase	Paenibacillus sp.	TrEMBL	TRUE
B6VF01	endo-1,4-beta-xylanase	Paenibacillus sp.	TrEMBL	TRUE
A0A075EEX4	endo-1,4-beta-xylanase	Paenibacillus sp. DG-22	TrEMBL	TRUE
B6VF01	endo-1,4-beta-xylanase	Paenibacillus sp. HPL-001	TrEMBL	TRUE
C3VEV9	endo-1,4-beta-xylanase	Penicillium canescens	TrEMBL	TRUE
B1B533	endo-1,4-beta-xylanase	Penicillium citrinum	TrEMBL	TRUE
Q2PGY1	endo-1,4-beta-xylanase	Penicillium citrinum	Swiss-Prot	TRUE
Q2PGY1	endo-1,4-beta-xylanase	Penicillium citrinum FERM P-1594	Swiss-Prot	TRUE
B1B533	endo-1,4-beta-xylanase	Penicillium citrinum FERM P-15944	TrEMBL	TRUE
E7EF85	endo-1,4-beta-xylanase	Penicillium oxalicum	Swiss-Prot	TRUE
E7EF85	endo-1,4-beta-xylanase	Penicillium oxalicum GZ-2	Swiss-Prot	TRUE
Q9P8J1	endo-1,4-beta-xylanase	Penicillium purpurogenum	Swiss-Prot	TRUE
D1GFE6	endo-1,4-beta-xylanase	Penicillium sp. CGMCC 1669	TrEMBL	TRUE
F2VRY7	endo-1,4-beta-xylanase	Phialophora sp. CGMCC 3328	TrEMBL	TRUE
Q8RJN8	endo-1,4-beta-xylanase	Pseudoalteromonas haloplanktis	TrEMBL	TRUE
Q8RJN8	endo-1,4-beta-xylanase	Pseudoalteromonas haloplanktis	TrEMBL	TRUE
Q8RJN8	endo-1,4-beta-xylanase	Pseudoalteromonas haloplanktis TAH3a	TrEMBL	TRUE
F7YXD6	endo-1,4-beta-xylanase	Pseudothermotoga thermarum	TrEMBL	TRUE
F7YXD6	endo-1,4-beta-xylanase	Pseudothermotoga thermarum DSM 5069	TrEMBL	TRUE
B3TJG3	endo-1,4-beta-xylanase	Radopholus similis		FALSE
P96988	endo-1,4-beta-xylanase	Rhodothermus marinus	TrEMBL	TRUE
A3DJS9	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	TrEMBL	TRUE
O32374	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	TrEMBL	TRUE
O52780	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	TrEMBL	TRUE
P10478	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	Swiss-Prot	TRUE
P10478	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	Swiss-Prot	TRUE
P51584	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum	Swiss-Prot	TRUE
A3DJS9	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum DSM 1237	TrEMBL	TRUE
A3DJS9	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum DSM 1237	TrEMBL	TRUE
P10478	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum DSM 1237	Swiss-Prot	TRUE
P10478	endo-1,4-beta-xylanase	Ruminiclostridium thermocellum DSM 1237	Swiss-Prot	TRUE
E1APH5	endo-1,4-beta-xylanase	Saccharopolyspora pathumthaniensis	TrEMBL	TRUE
E1APH5	endo-1,4-beta-xylanase	Saccharopolyspora pathumthaniensis S582	TrEMBL	TRUE
P35809	endo-1,4-beta-xylanase	Schizophyllum commune	Swiss-Prot	TRUE
Q6VAY1	endo-1,4-beta-xylanase	Scytalidium acidophilum	TrEMBL	TRUE
D8L2Y2	endo-1,4-beta-xylanase	Sphingobacterium sp. TN19	TrEMBL	TRUE
Q9X584	endo-1,4-beta-xylanase	Streptomyces avermitilis	TrEMBL	TRUE
Q9X584	endo-1,4-beta-xylanase	Streptomyces avermitilis CECT	TrEMBL	TRUE
Q8CJQ1	endo-1,4-beta-xylanase	Streptomyces coelicolor	TrEMBL	TRUE
Q8CJQ1	endo-1,4-beta-xylanase	Streptomyces coelicolor A3(2)	TrEMBL	TRUE
A7TVD4	endo-1,4-beta-xylanase	Streptomyces fradiae	TrEMBL	TRUE
P26514	endo-1,4-beta-xylanase	Streptomyces lividans	Swiss-Prot	TRUE
Q7SI98	endo-1,4-beta-xylanase	Streptomyces olivaceoviridis	TrEMBL	TRUE
F7J663	endo-1,4-beta-xylanase	Streptomyces sp.	TrEMBL	TRUE
F8WSY7	endo-1,4-beta-xylanase	Streptomyces sp.	TrEMBL	TRUE
C3RYK8	endo-1,4-beta-xylanase	Streptomyces sp. S27	TrEMBL	TRUE
B4XVN1	endo-1,4-beta-xylanase	Streptomyces sp. S9	Swiss-Prot	TRUE
F7J663	endo-1,4-beta-xylanase	Streptomyces sp. SWU10	TrEMBL	TRUE
F8WSY7	endo-1,4-beta-xylanase	Streptomyces sp. SWU10	TrEMBL	TRUE
C6FX34	endo-1,4-beta-xylanase	Streptomyces sp. TN119	TrEMBL	TRUE
C6ZHB0	endo-1,4-beta-xylanase	Streptomyces thermocarboxydus	TrEMBL	TRUE
C6ZHB0	endo-1,4-beta-xylanase	Streptomyces thermocarboxydus HY-15	TrEMBL	TRUE
Q9RMM4	endo-1,4-beta-xylanase	Streptomyces thermocyaneoviolaceus	TrEMBL	TRUE
Q9RMM4	endo-1,4-beta-xylanase	Streptomyces thermocyaneoviolaceus M049	TrEMBL	TRUE
Q97YG7	endo-1,4-beta-xylanase	Sulfolobus solfataricus		FALSE
Q97YG7	endo-1,4-beta-xylanase	Sulfolobus solfataricus Oalpha		FALSE
T2HRP0	endo-1,4-beta-xylanase	Talaromyces cellulolyticus	TrEMBL	TRUE
W8VR85	endo-1,4-beta-xylanase	Talaromyces cellulolyticus	TrEMBL	TRUE
W8VR85	endo-1,4-beta-xylanase	Talaromyces cellulolyticus CF-2612	TrEMBL	TRUE
Q5ZNB1	endo-1,4-beta-xylanase	Talaromyces funiculosus	Swiss-Prot	TRUE
Q8J0K5	endo-1,4-beta-xylanase	Talaromyces funiculosus	Swiss-Prot	TRUE
Q9HFH0	endo-1,4-beta-xylanase	Talaromyces funiculosus	Swiss-Prot	TRUE
Q9HFH0	endo-1,4-beta-xylanase	Talaromyces funiculosus	Swiss-Prot	TRUE
Q47QL8	endo-1,4-beta-xylanase	Thermobifida fusca	TrEMBL	TRUE
Q56265	endo-1,4-beta-xylanase	Thermobifida fusca	TrEMBL	TRUE
O43097	endo-1,4-beta-xylanase	Thermomyces lanuginosus	Swiss-Prot	TRUE
O43097	endo-1,4-beta-xylanase	Thermomyces lanuginosus	Swiss-Prot	TRUE
O43097	endo-1,4-beta-xylanase	Thermomyces lanuginosus IOC-4145	Swiss-Prot	TRUE
O43097	endo-1,4-beta-xylanase	Thermomyces lanuginosus SS-8	Swiss-Prot	TRUE
Q60037	endo-1,4-beta-xylanase	Thermotoga maritima	Swiss-Prot	TRUE
F8W669	endo-1,4-beta-xylanase	Trichoderma longibrachiatum	TrEMBL	TRUE
B2CNY5	endo-1,4-beta-xylanase	Trichoderma reesei		FALSE
B2CNY5	endo-1,4-beta-xylanase	Trichoderma reesei		FALSE
P36217	endo-1,4-beta-xylanase	Trichoderma reesei	Swiss-Prot	TRUE
P36218	endo-1,4-beta-xylanase	Trichoderma reesei	Swiss-Prot	TRUE
B2CNY5	endo-1,4-beta-xylanase	Trichoderma reesei RUT C-30		FALSE
Q9UVF9	endo-1,4-beta-xylanase	Trichoderma viride	TrEMBL	TRUE
B2LWN3	endo-1,4-beta-xylanase	uncultured bacterium	TrEMBL	TRUE
E2DQY5	endo-1,4-beta-xylanase	uncultured microorganism	TrEMBL	TRUE
E2FJN9	endo-1,4-beta-xylanase	uncultured microorganism	TrEMBL	TRUE
I6M1A2	endo-1,4-beta-xylanase	uncultured microorganism	TrEMBL	TRUE
Q4P0L3	endo-1,4-beta-xylanase	Ustilago maydis	Swiss-Prot	TRUE
Q4P0L3	endo-1,4-beta-xylanase	Ustilago maydis 521	Swiss-Prot	TRUE
Q9AM28	endo-1,4-beta-xylanase	Xanthomonas oryzae	TrEMBL	TRUE
