EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	40
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	Q9LBW5	Mycobacterium gastri MB19		17520247	41
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		no activity in Hansenula polymorpha		0	42
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		no activity in Hansenula polymorpha DL-1		0	43
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		no activity in Kloeckera sp.		0	44
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		no activity in Kloeckera sp. 2201		0	45
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		oligotrophic bacterium	FRENDA	17675378	46
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Pyrococcus	FRENDA	16428816	47
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	O59601	Pyrococcus horikoshii	bifunctional 3-hexulose 6-phosphate synthase/6-phospho-3-hexuloisomerase, constitutive expression	15901685	48
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Pyrococcus horikoshii	FRENDA	15901685	49
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Pyrococcus horikoshii		19593556	50
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Pyrococcus horikoshii OT3	AMENDA reliability +	15901685	51
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Pyrococcus sp.		19593556	52
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Rhodococcus	FRENDA	17675378	53
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Rhodococcus erythropolis N9T-4	FRENDA	17675378	54
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Thermococcus kodakarensis	bifunctional 3-hexulose-6-phosphate synthase/6-phospho-3-hexuloisomerase	16788179	55
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Thermococcus kodakarensis	FRENDA	16788179	56
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Thermococcus kodakarensis		19593556	57
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Thermococcus kodakarensis KOD1	FRENDA	16788179	58
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Thermococcus sp.		19593556	59
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		uncultured bacterium		0	60
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		uncultured bacterium 77a		0	61
