EC Number	Systematic Name	Recommended Name	UniProt	Organism	Organism Commentary
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinomadura	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinomadura sp.	isolated from compost in Thailand, gene xynS14
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinomadura sp. S14	isolated from compost in Thailand, gene xynS14
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinomycetales	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinoplanes atraurantiacus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Adeno-associated virus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aegilops	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aegilops biuncialis	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aegilops geniculata	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aegilops longissima	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aeromonas caviae	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aeromonas caviae	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aeromonas caviae	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aeropyrum camini JCM 2091	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aeropyrum camini JCM 2091	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agaricales sp. 'Arthromyces ramosus'	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agaricus bisporus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agaricus bisporus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agrobacterium	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agrobacterium	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Agrobacterium tumefaciens	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alatospora acuminata	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Albifimbria verrucaria	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alicyclobacillus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alicyclobacillus acidocaldarius	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	A0A0P0ISK8	Alicyclobacillus sp.	cf. EC 3.2.1.55
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	D3VWB5	Alicyclobacillus sp.	isolated from a hot spring in Baoshan City, Yunnan Province, China, gene xynA4
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	A0A0P0ISK8	Alicyclobacillus sp. A4	cf. EC 3.2.1.55
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	D3VWB5	Alicyclobacillus sp. A4	isolated from a hot spring in Baoshan City, Yunnan Province, China, gene xynA4
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alkalibacterium	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria alternata	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria mali	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria mali ND-16	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Alternaria sp.	aff. tenuissima, GenBank Accession: HQ630970
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Ambrosia	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Amorphophallus konjac	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Ampullaria	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Ampullaria crossean	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Ampullaria crossean	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q7Z1V6	Ampullaria crossean	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Amylomyces rouxii	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Amylomyces rouxii CCUG 22422	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Anguillospora crassa	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		animal	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		animal	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		animal	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Anoxybacillus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Anoxybacillus kaynarcensis	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Anoxybacillus pushchinoensis	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		antarctic bacterium	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Antrodia	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Antrodia macra	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Antrodia pulvinascens	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Gran-8	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Li-1	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Li-3	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Li-3	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Li-5:3	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arabidopsis thaliana cv. Pna-17	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		archaeon	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Areas	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Areas	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Areas	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Armoracia rusticana	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aroma	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aroma	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Artemisia heptapotamica	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Artemisia heptapotamica	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arthrinium sp.	aff. phaeospermum, GenBank Accession: HQ630967; aff. sacchari, GenBank Accession: HQ630961
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	A0A0F6MV31	Arthrobacter sp.	isolated from the feces of Grus nigricollis
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Arthrobacter sp.	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	A0A0F6MV31	Arthrobacter sp. GN16	isolated from the feces of Grus nigricollis
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Ascobolus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q00263	Ascochyta pisi	precursor
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus aculeatus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus aculeatus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus aculeatus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus aculeatus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus aculeatus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus awamori	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus awamori	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus awamori	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus awamori	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus caespitosus	isoforms xyl I, xyl II, growth in sugar cane bagasse
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus carneus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus cf. niger BCC14405	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q6QA21	Aspergillus cf. niger BCC14405	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus clavatus	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fischeri	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fischeri	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus flavipes	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus flavus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus flavus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus foetidus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus foetidus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus	Fresenius
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	E0X4B3	Aspergillus fumigatus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus Af293	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus IMI 255091	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus M.7.1	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus MKU1	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus R1	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus fumigatus Z5	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus giganteus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus giganteus	isoforms xylanase I, xylanase II, growth in xylan
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus giganteus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus japonicus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus japonicus	gene XynA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus japonicus	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus japonicus MU-2	gene XynA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus kawachii	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus kawachii	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus kawachii	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus kawachii	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	P33557	Aspergillus kawachii	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus kawachii IFO 4308	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	P33557	Aspergillus kawachii NBRC 4308	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q00177	Aspergillus nidulans	precursor; formerly Aspergillus nidulans
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus nidulans CECT 2544	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	recombinant enzyme with His-tag
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	beta-xylanase M4
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	F5CI28	Aspergillus niger	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	P55329	Aspergillus niger	precursor
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger 14	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger ATCC 6275	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger B03	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger BCC14405	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	F5CI28	Aspergillus niger IA-0010	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger IBT-90	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger IFO 31628	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus niger UV-11	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus ochraceus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus ochraceus	wild-type and mutant strain NG-13
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus ochraceus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus ochraceus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	AMENDA reliability +++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus oryzae MTCC 5154	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q2PQU3	Aspergillus phoenicis	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q2PQU3	Aspergillus phoenicis RP-02	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sojae	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sp.	aff. fumigatus, GenBank Accession: HQ631021
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sp.	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sulphureus	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sulphureus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q3S401	Aspergillus sulphureus	gene xynB
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus sydowii	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus terreus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus terreus	isolated from soil samples collected from different areas of Syria, cereal fields, olive fields, forests, and gardens
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus terreus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus terreus FSS129	isolated from soil samples collected from different areas of Syria, cereal fields, olive fields, forests, and gardens
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus terreus NIH2624	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus tubingensis	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus tubingensis	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus tubingensis	isolated from soil samples collected from different areas of Syria, cereal fields, olive fields, forests, and gardens
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Aspergillus usamii	AMENDA reliability +
